Channel,Frame Type,Frame Format,Frame ID,Direction,Length,Datas(Hex),Status,Time
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:34.638.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:34.639.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:34.639.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:34.639.400
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9B FF 00 00 ,Success,00:10:34.639.600
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:34.891.300
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:34.891.500
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:34.891.700
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:34.891.800
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:34.892.000
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9B FF 00 00 ,Success,00:10:34.892.200
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:35.144.100
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 64 60 00 17 18 FE FF ,Success,00:10:35.144.300
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 6C 60 00 00 00 00 00 ,Success,00:10:35.144.500
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,43 6C 60 00 00 00 00 00 ,Success,00:10:35.144.700
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 15 22 00 00 00 00 00 ,Success,00:10:35.144.900
Device0,CH1,Standard Frame,Data Frame,0x581,Receive,8,4B 15 22 00 9C FF 00 00 ,Success,00:10:35.145.100
Device0,CH1,Standard Frame,Data Frame,0x601,Receive,8,40 64 60 00 00 00 00 00 ,Success,00:10:46.513.800
